element_id,name,category,query_label,tfidf_x,tfidf_y,hash_x,hash_y,tfidf_kmeans_cluster,hashing_kmeans_cluster
way/4020542,Fortune Green,park relaxed,parks,0.5653105181659538,-0.28452501239949307,0.41842597682531346,0.3870757089039897,0,2
way/4020620,Grove Farm local nature reserve,park relaxed,parks,0.5726575632323261,0.16176444389717007,0.5538020464757604,-0.042636088033208466,0,1
way/4040566,Hendon Park,park relaxed,parks,0.6606409472713367,-0.2969988768302881,0.4918241471007373,0.37469525246956736,0,2
way/4040975,Wood End East Recreation Ground,park relaxed,parks,0.5059642199914691,-0.2654982310790283,0.44919180105052237,0.405482898432327,0,2
way/4045176,Gladstone Park,park relaxed,parks,0.6768638789944795,-0.3054924918018899,0.49036125643302525,0.37125879801453227,0,2
way/4045840,Bellingham Green,park relaxed,parks,0.5558393517918365,-0.29124508462569265,0.3815987524659687,0.3876796228668899,0,2
way/4045842,Mountsfield Park,park relaxed,parks,0.6153468280500423,-0.2505976559530862,0.5370016503845194,0.3763837141940012,0,2
way/4049350,Lammas Park,park relaxed,parks,0.6756266354031648,-0.32616678262182836,0.5132821382327998,0.35658586482400306,0,2
way/4070914,Morven Park,park relaxed,parks,0.6088107753981079,-0.22896029558577266,0.5068776079388448,0.27191024043552925,0,2
way/4072806,Queens Park,park relaxed,parks,0.6614688567718123,-0.247215659105269,0.5023945443906424,0.3235032891207065,0,2
way/4075108,Lincoln's Inn,park relaxed,parks,0.6640839978899942,-0.3179684551199098,0.42096394908055224,0.3525986930784488,0,2
way/4076730,Bethune Park,park relaxed,parks,0.6806955915080293,-0.3459263598039746,0.4718718929428282,0.4731874227545784,0,2
way/4078566,Craig Park,park relaxed,parks,0.6729088477374365,-0.3528013764255464,0.459938213105111,0.4984326224615032,0,2
way/4078567,Pymmes Park,park relaxed,parks,0.6806955915080293,-0.3459263598039746,0.487240722691577,0.4705365667776794,0,2
way/4081049,Grosvenor Square,park relaxed,parks,0.47785444401146204,-0.16376437007717765,0.46393732314777286,0.18052029895856408,0,2
way/4082589,Leicester Square,park relaxed,parks,0.5066928672134648,-0.20520829562276688,0.42175201890421243,0.2812315869153583,0,2
way/4082666,Primrose Hill,park relaxed,parks,0.4276559257349737,-0.15914761076370237,0.45490684872029635,0.255449089517086,0,2
way/4085758,Stanley Park,park relaxed,parks,0.6729088477374365,-0.3528013764255464,0.47392116340564766,0.5142199321174554,0,2
way/4086227,Elmgrove Recreation Ground,park relaxed,parks,0.48789226834802074,-0.2533285964005783,0.341533294913868,0.29258581170955356,0,2
way/4089030,Hampstead Cemetery,park relaxed,parks,0.6957468513183053,0.1927869637594442,0.6209465030624178,0.09596598156060394,0,2
way/4090241,Church Fields,park relaxed,parks,0.677028270565737,-0.36292026509383135,0.42020827054341536,0.47282748664545904,0,2
way/4097473,Fairland Park,park relaxed,parks,0.6729088477374365,-0.3528013764255464,0.45330335965345087,0.5082525464010389,0,2
way/4097476,Finsbury Park,park relaxed,parks,0.5872651226473968,-0.15668733001788251,0.5694961144534485,0.2153257308281388,0,2
way/4111166,Wimbledon Park,park relaxed,parks,0.668906564818291,-0.26678706406891417,0.5280397882755468,0.35264616939594073,0,2
way/4116247,Monken Hadley Common,park relaxed,parks,0.682707208174273,-0.35057491593220513,0.40194233632511733,0.32794272682352626,0,2
way/4133074,Aldersbrook Avenue Recreation Ground,park relaxed,parks,0.5059642199914691,-0.2654982310790283,0.37122141979505935,0.3427509150324924,0,2
way/4188297,Ludgrove Playing Field,park relaxed,parks,0.677028270565737,-0.36292026509383135,0.3557275058804293,0.3583271396205963,0,2
way/4234648,Stationers Park,park relaxed,parks,0.7449553165497429,-0.0040530108540022605,0.625993117232056,0.12467429760759144,0,2
way/4239815,Parsons Green,park relaxed,parks,0.41093974240154346,-0.17598819492172407,0.3779205816192083,0.31985768071990045,0,2
way/4242918,Chelmsford Square Tennis Courts & Gardens,park relaxed,parks,0.6022109587538553,-0.3382796972100731,0.3933310357187626,0.3513818009534743,0,2
way/4242930,Roundwood Park,park relaxed,parks,0.6806955915080293,-0.3459263598039746,0.4854949313044196,0.4806743540325091,0,2
way/4244828,Hammersmith Park,park relaxed,parks,0.6404395598781342,-0.1940146652924955,0.49423648452000146,0.2715075896834822,0,2
way/4244829,Shepherds Bush Green,park relaxed,parks,0.41093974240154346,-0.17598819492172407,0.3730675043108585,0.3153887009830877,0,2
way/4245003,Cranford Country Park,park relaxed,parks,0.611600530157923,0.09618529112510717,0.6277234029869673,0.0735396182878042,0,2
way/4248612,Preston Park,park relaxed,parks,0.6595317522717301,-0.3108961218320116,0.4974165940037951,0.43242544116844356,0,2
way/4251186,Walpole Park,park relaxed,parks,0.6712562004280835,-0.3103377654414908,0.49424970826998144,0.35317914263949113,0,2
way/4251190,Dean Gardens,park relaxed,parks,0.6709452328752471,-0.35154353134091687,0.4806439906399872,0.398679791117864,0,2
way/4252522,Hurlingham Park,park relaxed,parks,0.6704775148803241,-0.2592334077578009,0.49986969161304334,0.30358224462601485,0,2
way/4252532,South Park,park relaxed,parks,0.6730564604583268,-0.3254131378346818,0.48606891370437616,0.38944158812235063,0,2
way/4253286,Woburn Square,park relaxed,parks,0.4971983002499963,-0.2438618554775687,0.39457598952862005,0.2619549264846269,0,2
way/4253288,Gordon Square,park relaxed,parks,0.49725248486562346,-0.23535931547469102,0.48536418566197864,0.12202363594779941,0,2
way/4253353,St. John's Gardens,park relaxed,parks,0.6709452328752471,-0.35154353134091687,0.46841105466550675,0.389748853399119,0,2
way/4253527,West Square Gardens,park relaxed,parks,0.520332135879418,-0.22111652920439412,0.482375042410856,0.24619500611048448,0,2
way/4253646,Queen Square Gardens,park relaxed,parks,0.5362522805336357,-0.2535155008187802,0.4445018053286869,0.23934587316118966,0,2
